pickup_date,period,day_of_year,trip_count
2025-03-17,2025,76,55574
2025-03-18,2025,77,68697
2025-03-19,2025,78,72677
2025-03-20,2025,79,86266
2025-03-21,2025,80,72451
2025-03-22,2025,81,85087
2025-03-23,2025,82,67062
2025-03-24,2025,83,55145
2025-03-25,2025,84,65662
2025-03-26,2025,85,73468
2025-03-27,2025,86,79093
2025-03-28,2025,87,73137
2025-03-29,2025,88,94378
2025-03-30,2025,89,71107
2025-03-31,2025,90,55905
2025-04-01,2025,91,66715
2025-04-02,2025,92,75328
2025-04-03,2025,93,75353
2025-04-04,2025,94,70906
2025-04-05,2025,95,87516
2025-04-06,2025,96,65819
2025-04-07,2025,97,57229
2025-04-08,2025,98,70175
2025-04-09,2025,99,74460
2025-04-10,2025,100,79086
2025-04-11,2025,101,79825
2025-04-12,2025,102,85175
2025-04-13,2025,103,59096
2025-04-14,2025,104,49895
2025-04-15,2025,105,66015
2025-04-16,2025,106,73376
2025-04-17,2025,107,74618
2025-04-18,2025,108,67576
2025-04-19,2025,109,76978
2025-04-20,2025,110,60895
2025-04-21,2025,111,52870
2025-04-22,2025,112,64501
2025-04-23,2025,113,72762
2025-04-24,2025,114,79805
2025-04-25,2025,115,76174
2025-04-26,2025,116,91930
2025-04-27,2025,117,75166
2025-04-28,2025,118,52751
2025-04-29,2025,119,65259
2025-04-30,2025,120,73689
2025-05-01,2025,121,83569
2025-05-02,2025,122,75775
2025-05-03,2025,123,91958
2025-05-04,2025,124,74006
2025-05-05,2025,125,64323
2025-05-06,2025,126,72730
2025-05-07,2025,127,77542
2025-05-08,2025,128,86868
2025-05-09,2025,129,80517
2025-05-10,2025,130,89283
2025-05-11,2025,131,76362
2025-05-12,2025,132,61649
2025-05-13,2025,133,78080
2025-05-14,2025,134,83380
2025-05-15,2025,135,87181
2025-05-16,2025,136,81396
2025-05-17,2025,137,96320
2025-05-18,2025,138,71883
2025-05-19,2025,139,62046
2025-05-20,2025,140,73947
2025-05-21,2025,141,82895
2025-05-22,2025,142,77544
2025-05-23,2025,143,63230
2025-05-24,2025,144,59647
2025-05-25,2025,145,57302
2025-05-26,2025,146,46191
2025-05-27,2025,147,59105
2025-05-28,2025,148,77541
2025-05-29,2025,149,75140
2025-05-30,2025,150,73311
2025-05-31,2025,151,83534
2025-06-01,2025,152,67319
2025-06-02,2025,153,54398
2025-06-03,2025,154,72148
2025-06-04,2025,155,79959
2025-06-05,2025,156,90275
2025-06-06,2025,157,80086
2025-06-07,2025,158,88202
2025-06-08,2025,159,71769
2025-06-09,2025,160,62747
2025-06-10,2025,161,72965
2025-06-11,2025,162,79144
2025-06-12,2025,163,87878
2025-06-13,2025,164,75175
2025-06-14,2025,165,80668
2025-06-15,2025,166,65388
2025-06-16,2025,167,58427
2025-06-17,2025,168,71519
2025-06-18,2025,169,83429
2025-06-19,2025,170,74967
2025-06-20,2025,171,69849
2025-06-21,2025,172,85628
2025-06-22,2025,173,69403
2025-06-23,2025,174,67500
2025-06-24,2025,175,80186
2025-06-25,2025,176,83564
2025-06-26,2025,177,81368
2025-06-27,2025,178,72032
2025-06-28,2025,179,80530
2025-06-29,2025,180,68448
2025-06-30,2025,181,57647
